first_name,last_name,dob,ent_id,id,block
HERBERT,ALBRECHT,1985/12/08,39,2306,A
GUENTHER,MUELLER,1947/03/29,76,1372,M
HERBERT,HARTMANN,1969/04/25,85,3685,H
UWE,MOELLER,1936/09/05,157,2403,M
FLORIAN,MEIER,2002/01/09,159,363,M
BERND,KUEHN,2002/09/17,183,1578,K
MANFRED,MAYER,1936/04/21,193,2107,M
GERHARD,FISCHER,1967/10/20,205,3197,F
RUEDIGER,LANGE,1941/12/20,215,3703,L
HORST,SCHULTE,1999/10/22,227,1004,S
HORSZT,SCHWARZ,9185/10/14,232,492,S
JOERG,FISCHER,1937/02/09,251,1676,F
HANS,SCHMITT,1945/08/14,329,4,S
GUENTHER,MARTIN,1968/05/16,430,484,M
UKWE,SCHWARZ,1963/09/17,510,1843,S
PETER ROLF,ZIMMERMANN,1945/11/21,558,1022,Z
THOMAS,MUELKER,1962/12/12,561,495,M
HERBERT,SCHUBERT,1953/10/22,648,568,S
WOLFGANG,SCHMIDT,1962/05/29,736,2636,S
MICHAELL,WEBER,1976/03/31,780,1090,W
WERNER,KOCH,1953/03/03,830,4324,K
WILLI,PETESR,1963/07/09,831,2341,P
HORST THOMAS,SCHROEDER,1936/05/10,895,79,S
KLAUS,BERGER,1960/02/13,905,994,B
JOERG,ZIMMERMANN,1961/07/04,923,427,Z
BERNHD,KRUEGER,1968/05/17,1026,350,K
HELMUT,MAYER,1965/07/23,1033,300,M
HORSTX,MUELLER,1991/09/07,1112,38,M
CARSTEN,FRIERICH,1934/11/15,1113,709,F
FRANNK,LORENZ,1951/12/02,1165,2184,L
MICHAEL,GRAF,1964/12/13,1179,1184,G
JENS JUERGEN,KLEIN,1933/08/16,1191,3411,K
THOMAS,KRAUSE,1958/08/18,1198,2402,K
PETER,SCHROEDER,1997/01/18,1202,3009,S
MICHAEL,FUCHS,1966/05/17,1213,997,F
THOMAS,KRUEGER,1964/01/27,1225,973,K
ULRICH,HOFJANN,1964/02/08,1252,2207,H
HELMWUT,BERGER,1955/07/27,1266,1705,B
JENS,DIETRICH,1968/05/24,1367,634,D
HERMAANN,MUELLER,1990/10/02,1373,75,M
THOMAS,WOLF,1997/06/20,1377,3386,W
GERHARD,MEYER,1948/10/24,1430,1784,M
OLIVER,MUELLER,1946/04/06,1433,1279,M
HEINZ,FISCHER,1980/04/26,1465,366,F
HEINZA,WINKLER,1965/12/07,1478,110,W
PAUL,MAIER,1947/06/11,1497,635,M
ROLF,WAGNER,1924/09/28,1522,1396,W
JOERGF,ALBRECHT,1979/10/25,1543,4170,A
UWE,FISCHER,1970/11/02,1549,1945,F
HEIKCO,KAISER,1972/11/27,1570,2271,K
STEFIAN,FUCHS,1997/04/26,1619,4442,F
KARL,RICHTER,1965/09/29,1634,4575,R
CHRISTOPH,GUENTHER,1986/05/08,1641,117,G
KAI,KLEIN,1949/11/16,1712,1619,K
MANFRED HANS,PETWRS,1987/05/25,1741,1959,P
ROLF,SCHUBERT,1983/10/13,1742,893,S
THORSTEN,JUNG,1975/06/04,1758,2758,J
MICHAEL,LANG,1953/08/18,1771,1746,L
HEINZ,SCHUULZ,1979/02/18,1804,2242,S
KLAUS,BECKER,1966/11/02,1927,600,B
RAINER,LANGE,1948/12/03,1978,1935,L
BERND,WEBR,1927/11/06,2035,2825,W
JUERGEN,BAUER,1972/10/03,2049,4346,B
THORSTEN,MUELLER,1938/09/12,2061,940,M
BERNHARD,BECKER,1925/01/10,2083,2673,B
FRANK,SCHROEDER,1952/04/18,2131,498,S
MARTIN,MUELLDR,1977/05/27,2154,380,M
GUENTHER,NEUMANN,2002/08/05,2206,1824,N
FRANK,SCHNEIDER,1967/10/25,2311,619,S
MICHAEL,PETERS,1937/01/12,2357,1341,P
HORST,HOFMANN,1945/11/04,2358,1561,H
STEFAN,WAGNER,1926/08/22,2362,1035,W
OLAF,GROSS,1997/03/12,2426,565,G
MARTIYN,MAIRR,2008/02/01,2465,112,M
STEFAN,BAUER,1998/09/02,2558,1916,B
HANS,SCHILZ,1980/05/17,2582,3153,S
PAUL,SCHMITZ,1972/02/16,2644,581,S
UWE,SCHOLZ,1970/10/11,2663,2988,S
JENS,ENGEL,1954/08/19,2745,4022,E
MANFRED GERHARD,WAGMER,1925/03/09,2749,2239,W
STEFAN,WOLF,1936/09/12,2797,4742,W
WALTER RAINER,MEYER,1935/09/18,2815,1375,M
HORST MATTHIAS,SCHWARZ,1957/01/19,2836,4698,S
RUDOLF,LEHMANN,1987/03/13,2854,1307,L
PETER,PETERS,1937/11/26,2859,1574,P
