first_name,last_name,dob,ent_id,id,block
MICHAEL,MUELLER,1957/03/14,0,4706,M
JUERGEN,FISCHER,1969/01/15,1,738,F
GUENTHER,PFEIFFER,1995/08/08,2,4253,P
OTTO,HARTMANN,2000/06/05,3,160,H
JENS,FISCHER,1949/11/20,4,695,F
JUERGEN,KOCH,1941/06/21,5,2342,K
JAN,HERRMANN,1961/03/13,6,2286,H
THORSTEN,RICHTER,1962/12/29,7,147,R
HERMANN,HORN,1939/07/12,8,105,H
SVEN,WOLFF,1933/11/10,9,3809,W
HERBERT,ALBRECHT,1997/01/18,10,1802,A
UWE,SCHMITZ,2007/08/14,11,4197,S
STEFAN,SCHROEDER,1929/08/17,12,171,S
MICHAEL,FRANKE,1956/09/03,13,3460,F
FRANZ,HOFMANN,1984/03/16,14,2497,H
WOLFGANG HORST,MUELLER,1987/11/01,15,3375,M
ALFRED,HARTMANN,1938/04/12,16,692,H
WERNER,MEYER,1998/06/03,17,2371,M
OLIVER,LANGE,1955/03/26,18,1379,L
UWE,LANGE,1978/12/24,19,4428,L
PAUL,SCHAEFER,1942/07/02,20,2461,S
PAUL,SCHAECFER,1942/07/02,20,3612,S
MICHAEL,HERRMANN,1947/11/23,21,3326,H
BERND,SCHMITT,1971/04/03,22,1897,S
GERHARD,WALTER,1938/08/15,23,14,W
MANFRED,MUELLER,1953/01/05,24,3820,M
ANDREAS JAN,SCHNEIDER,1939/08/24,25,4241,S
BERND,HOFFMANN,1964/08/31,26,4370,H
CHRISTIAN,LEHMANN,1994/05/24,27,2774,L
JAN,SCHMITZ,1959/09/29,28,1893,S
FRANK,SCHROEDER,1973/10/19,29,3355,S
THOMAS,PFEIFFER,1962/05/21,30,2508,P
GERHARD,WINKLER,1938/04/02,31,2159,W
HEINZ,FISCHER,1989/08/13,32,4580,F
WOLFGANG,WEBER,1975/09/27,33,1710,W
MATTHIAS,KOERTIG,1954/09/11,34,223,K
MICHAEL,SCHNEIDER,1990/05/05,35,3787,S
JOACHIM,NEUMANN,2005/11/13,36,3183,N
CARSTEN,SCHMIDT,1970/03/11,37,3684,S
ANDREAS,WALTER,1948/11/09,38,1367,W
HERBERT,ALBRECHT,1985/12/08,39,2306,A
HERBERT,ALBRECHT,1985/12/15,39,3265,A
DIETER,BOEHM,1966/09/16,40,1116,B
GUENTHER,SCHMIDT,1991/05/13,41,4199,S
DIRK,FRANKE,1953/10/16,42,3020,F
HORST,SCHMIDT,1967/09/11,43,727,S
MARKUS HARTMUT,NEUMANN,1948/07/31,44,1193,N
MARKGUS HARTMUT,NEUMANN,1948/07/31,44,3277,N
BERND,MAYER,1928/01/10,45,1009,M
BERNHARD,MUELLER,1951/06/27,46,1462,M
BERNHARD,MUELLER,1951/01/27,46,2201,M
ANDREAS,WAGNER,1944/01/26,47,197,W
HANS,PFEIFFER,1970/12/01,48,2409,P
HANS,PFIEFFER,1970/12/01,48,4310,P
PETER,VOGT,2004/02/14,49,2513,V
HANS,HOFFMANN,1995/06/18,50,2664,H
MARTIN,SCHMITT,1989/02/13,51,828,S
JOACHIM,SCHAEFER,1962/02/02,52,3983,S
HOLGER,SCHMIDT,1959/08/12,53,1298,S
WILHELM,GRAF,1995/02/21,54,4852,G
TIM,SCHMIDT,2005/07/18,55,4066,S
WALTER,FUCHS,1939/04/20,56,3935,F
JUERGEN,LEHMANN,2005/09/18,57,737,L
CARSTEN,FUCHS,2005/08/04,58,285,F
AXEL,KRAUSE,1944/07/03,59,4335,K
OLIVER,STEIN,1964/08/03,60,4410,S
FLORIAN,KAISER,1971/12/31,61,4141,K
JUERGEN,KRAUSE,1962/07/01,62,2634,K
JUERTGEN,KRAUSE,1962/07/01,62,4791,K
JOERG PETER,BECK,1996/10/08,63,46,B
UWE,SCHMIDT,1979/12/03,64,2605,S
ROLF,SCHUBERT,1985/12/06,65,3802,S
CARSTEN,SCHAEFER,2006/01/27,66,383,S
KURT,SCHULZE,1990/10/26,67,4861,S
GERHARD,FRANK,1964/12/28,68,741,F
HARTMUT,SCHULZ,2002/09/16,69,3267,S
UWE,WALTER,1972/12/10,70,1421,W
FRANK,BAUER,1996/04/16,71,373,B
FRANKV,BAUER,1996/04/16,71,2441,B
WERNER,SCHNEIDER,1994/06/07,72,4469,S
UWE,MEYER,1961/10/20,73,4977,M
GUENTHER,HEINRICH,2007/01/11,74,1286,H
KARL,MUELLER,1941/03/06,75,2502,M
GUENTHER,MUELLER,1947/03/29,76,1372,M
GUENTHER,MUELLER,1942/03/29,76,4350,M
JENS,WAGNER,1976/08/14,77,1056,W
JENS,WAGNER,1986/08/14,77,2763,W
ALEXANDER ANDREAS,THOMAS,1924/12/16,78,4879,T
CHRISTOPH,SCHUSTER,1960/05/12,79,1207,S
SVEN,MUELLER,1950/03/16,80,506,M
ANDREAS,MUELLER,1982/05/23,81,3323,M
WOLFGANG,RICHTER,1980/02/07,82,68,R
JENS,FISCHER,1969/02/18,83,3127,F
WERNER,SCHULZ,1976/08/16,84,4399,S
HERBERT,HARTMANN,1969/04/25,85,3685,H
HERBERT,HARTSANN,1969/04/25,85,4448,H
ROBERT,HOFFMANN,1937/07/23,86,4592,H
ROLF,SCHMITT,2002/07/08,87,3296,S
HEIKO,SIMON,1932/10/08,88,3578,S
THOMAS,SCHMIDT,1968/02/26,89,3232,S
GUENTHER,MEYER,1996/08/06,90,3205,M
WOLFGANG,SCHNEIDER,1963/05/23,91,3283,S
ANDREAS,SCHNEIDER,1976/10/28,92,2069,S
HELMUT,MEYER,1960/12/19,93,468,M
WERNER,SCHNEIDER,1984/07/04,94,2510,S
THOMAS,KRAUSE,2004/04/23,95,2134,K
THOMAS,LANGE,1935/09/07,96,4880,L
GERHARD,KAISER,1975/05/29,97,2973,K
MARCO,NEUMANN,1954/09/22,98,3605,N
GUENTHER,WINTER,1990/07/24,99,4240,W
FRIEDRICH,WALTER,1968/06/05,100,4037,W
ROLF,HOFMANN,1984/11/02,101,1062,H
HANS,SCHULZE,1972/03/08,102,992,S
RAINER,SCHULZ,1955/09/26,103,3862,S
HELMUT,SIMON,1973/04/17,104,94,S
RAINER,SCHAEFER,1949/07/22,105,4376,S
JOERG,WEBER,1976/08/30,106,1758,W
JOERIG,WEBER,1976/08/30,106,2963,W
JUERGEN,ZIMMERMANN,1971/02/09,107,432,Z
CARSTEN,LUDWIG,1985/08/11,108,1642,L
WERNER,SCHNEIDER,1958/05/02,109,1380,S
THOMAS,SCHULZE,1949/09/05,110,3505,S
WERNER,SCHOLZ,1991/11/20,111,4971,S
ANDREAS,MUELLER,1988/04/07,112,4134,M
CARSTEN,BERGER,1961/01/28,113,2062,B
CARSTEN,BERGER,1961/05/28,113,2073,B
JAN,FISCHER,1994/12/09,114,4413,F
UWE,JUNG,1948/11/24,115,1874,J
JUERGEN,ERNST,1950/06/18,116,397,E
MATTHIAS,MEYER,2001/04/16,117,2282,M
WERNER,MEIER,1959/02/04,118,2203,M
