id_number	City	State	ZipCode	Age	Company	Longitude	StreetAddress	Street Number	Latitude	lat_2
1	Nashville	TN	37201	67	The Wiz	-86.853673	1337 Andell Road	1337	36.212474	36
2	Joplin	MO	64804	72	Rogers Food Stores	-94.480323	3261 Briarwood Road	3261	37.036375	37
3	Harper	TX	78631	47	Farmer Jack	-99.332067	2782 Parrish Avenue	2782	30.339054	30
4	Irwinton	GA	31042	73	System Star Solutions	-83.067236	1644 White Lane	1644	32.832061	32
5	Louisville	KY	40299	49	CSK Auto	-85.602128	2678 Earnhardt Drive	2678	38.251354	38
6	Little Compton	RI	2837	24	Shoe Pavilion	-71.091361	4605 Winding Way	4605	41.495462	41
7	Colchester	VT	5446	41	Ideal Garden Management	-73.066212	924 Essex Court	924	44.590093	44
8	Sugar Notch	PA	18706	53	Helping Hand	-75.912159	1867 Carriage Lane	1867	41.133394	41
9	Tuscaloosa	AL	35404	62	Opti-Tek	-87.558605	4845 Broad Street	4845	33.283997	33
10	Gloster	MS	39638	23	House Works	-90.991884	3032 Gorby Lane	3032	31.313742	31
11	Santa Cruz	CA	95060	20	Beasts of Beauty	-122.071336	4495 Ventura Drive	4495	37.033479	37
12	Mapleton	WI	53066	24	Crandall's Fine Furniture	-88.42442	985 Sycamore Lake Road	985	43.145438	43
13	Monsey	NY	10952	70	Gamma Grays	-74.162391	1976 Scott Street	1976	41.074655	41
14	Henderson	NV	89014	83	FlowerTime	-115.095889	4751 Sunrise Road	4751	36.033447	36
15	Fredericksburg	TX	78624	32	Cavages	-98.901591	1416 Parrish Avenue	1416	30.263629	30
16	Sherman Oaks	CA	91403	47	Big D Supermarkets	-118.395717	316 Koontz Lane	316	34.056384	34
17	Washington	DC	20011	43	Quickbiz	-76.960529	633 Massachusetts Avenue	633	39.015414	39
18	Manhattan	NY	10018	53	Monmax	-73.982026	1440 Scott Street	1440	40.801108	40
19	Columbia	MD	21045	67	Friendly Advice	-76.816483	402 Hewes Avenue	402	39.168508	39
20	Tukwila	WA	98168	77	Tianguis	-122.316343	4772 Scenicview Drive	4772	47.555161	47
21	San Antonio	TX	78205	74	Weatherill's	-98.416585	976 Freshour Circle	976	29.426654	29
22	San Diego	CA	92111	85	Vibrant Man	-117.211566	997 Pike Street	997	32.768673	32
23	Dayton	OH	45402	47	Poore Simon's	-84.134594	4451 Harter Street	4451	39.811708	39
24	Albany	NY	12207	49	Alexander's	-73.741468	3961 Joes Road	3961	42.558104	42
25	Salem	NH	3079	81	Zantigo	-71.215554	290 Peck Street	290	42.757024	42
26	Phoenix	AZ	85016	32	Grossman's	-112.056882	2756 Dye Street	2756	33.470212	33
27	Chilhowee	MO	64733	74	Best Products	-93.839473	2505 Oak Lane	2505	38.49438	38
28	Newark	DE	19714	26	Steve's Ice Cream	-75.766106	2562 Argonne Street	2562	39.665442	39
29	Pittsburgh	PA	15212	37	Beasts of Beauty	-80.073965	1381 Leo Street	1381	40.545081	40
30	Gonzales	TX	78629	53	Multicerv	-97.399054	1998 Morris Street	1998	29.368619	29
31	North Billerica	MA	1862	46	Ole's	-71.177129	682 Huntz Lane	682	42.481369	42
32	Norwood	MO	65717	74	Quality Merchant Services	-92.305365	4695 Chandler Drive	4695	37.101921	37
33	Appleton	WI	54915	64	Robinson Furniture	-88.333038	354 Lynn Avenue	354	44.299458	44
34	Bountiful	UT	84010	51	Tee Town	-111.888736	4930 Walton Street	4930	40.893223	40
35	Fresno	CA	93721	76	Just For Fun	-119.82524	2871 Half and Half Drive	2871	36.802757	36
36	New Canton	IL	62356	54	Bountiful Harvest Health Food Store	-91.074322	3612 Isaacs Creek Road	3612	39.656232	39
37	Boston	MA	2110	80	Blockbuster Music	-70.951271	1742 Lyon Avenue	1742	42.322878	42
38	Dayton	OH	45407	27	Purity	-84.241882	4979 Crim Lane	4979	39.73813	39
39	Chicago	IL	60605	27	Big Daddy's Restaurants	-87.58735	437 Kembery Drive	437	41.870471	41
40	Houston	TX	77028	62	Richman Brothers	-95.350072	3537 Grey Fox Farm Road	3537	29.785958	29
41	Mobile	AL	36638	35	WWW Realty	-88.166151	1143 George Avenue	1143	30.631277	30
42	Bedford	MA	1730	37	Nan Duskin	-71.295736	4209 Kennedy Court	4209	42.406434	42
43	Woburn	MA	1801	83	King Carol	-71.236688	2389 Tenmile Road	2389	42.39245	42
44	Las Vegas	NV	89119	55	Country Club Markets	-115.242719	3085 Sunrise Road	3085	36.075671	36
45	Arlington Heights	IL	60004	19	Rainbow Life	-87.890557	923 Thomas Street	923	42.033523	42
46	Knoxville	TN	37921	56	Licorice Pizza	-83.931316	2968 Raver Croft Drive	2968	35.995379	35
47	Orlando	FL	32805	61	Fradkin Brothers Furniture	-81.366404	4045 Coolidge Street	4045	28.543076	28
48	Mira Loma	CA	91752	40	Red Bears Tavern	-117.513592	1364 Paradise Lane	1364	33.993225	33
49	Laurel Springs	NJ	8021	75	Wells & Wade	-75.029944	3623 Briarwood Drive	3623	39.769376	39
50	Walnut	CA	91789	59	Life Map	-117.863642	1976 Gordon Street	1976	33.923171	33
51	Milwaukee	WI	53226	21	Pantry Food Stores	-88.099727	1132 Larry Street	1132	43.1191	43
52	Pittsburgh	PA	15219	51	Adaptabiz	-79.893804	3485 Jacobs Street	3485	40.531467	40
53	Wilmington	OH	45177	53	Piccolo Mondo	-83.8312	544 College Avenue	544	39.426382	39
54	Jamestown	NY	14701	29	Integra Investment Plan	-79.275029	3820 Cameron Road	3820	42.102789	42
55	Waco	TX	76710	65	Maxi-Tech	-97.2773	4368 Hill Haven Drive	4368	31.53971	31
56	Engelhard	NC	27824	54	Parts America	-76.166826	2071 Fort Street	2071	35.373627	35
57	Kenner	LA	70062	54	Stop N Shop	-90.213681	2122 Shadowmar Drive	2122	29.989978	29
58	Los Angeles	CA	90014	29	Manu Connection	-118.300146	526 Zimmerman Lane	526	34.088345	34
59	Sibley	IL	61773	54	O.K. Fairbanks	-88.308214	4654 Scenic Way	4654	40.592539	40
60	Bristol	CT	6010	72	Clemens Markets	-72.966715	1120 Meadow View Drive	1120	41.733795	41
61	Cincinnati	OH	45236	52	Superior Appraisals	-84.317322	2093 Walnut Hill Drive	2093	39.282267	39
62	Cutchogue	NY	11935	82	Compact Disc Center	-72.472136	1391 Grove Street	1391	40.932316	40
63	Lewisburg	PA	17837	74	Integra Wealth Planners	-76.93211	74 High Meadow Lane	74	40.918619	40
64	Chattanooga	TN	37421	50	MagnaSolution	-85.200551	4520 Public Works Drive	4520	35.050675	35
65	Leakesville	MS	39451	28	Silo	-88.587823	260 Eastland Avenue	260	31.231986	31
66	Crestview	FL	32536	85	O.K. Fairbanks	-86.625292	2327 Woodside Circle	2327	30.619086	30
67	Grand Rapids	MI	49503	34	Adaptabiz	-85.659733	4804 Twin Oaks Drive	4804	43.042625	43
68	Woodland Hills	CA	91303	38	Big A Auto Parts	-118.573781	4181 New York Avenue	4181	34.158108	34
69	City Of Commerce	CA	90040	32	Environ Architectural Design	-118.163389	3895 Brannon Street	3895	33.948268	33
70	Colorado Springs	CO	80903	69	House Works	-104.820668	1868 Clover Drive	1868	38.751214	38
71	Whitestone	NY	11357	55	On Cue	-73.732065	4662 Redbud Drive	4662	40.788683	40
72	Norristown	PA	19403	67	Food Mart	-75.420471	1328 Linda Street	1328	40.116849	40
73	Grand Rapids	MI	49503	70	Young @ Heart	-85.563922	3548 Garrett Street	3548	42.916347	42
74	White Plains	NY	10641	79	Brilliant Home Designs	-73.765818	711 Deans Lane	711	41.025842	41
75	Houston	TX	77077	60	Sampson's	-95.638294	635 Gambler Lane	635	29.74172	29
76	Lincoln	NE	68501	40	The Fox and Hound 	-96.613495	2696 Oak Way	2696	40.724782	40
77	Irvine	CA	92664	74	Spaceage Stereo	-117.727108	786 Parkview Drive	786	33.747396	33
78	Saint Clairsville	OH	43950	31	"10,000 Auto Parts"	-80.87948	401 Bombardier Way	401	40.000324	40
79	Chicago	IL	60603	19	Monlinks	-87.558168	1076 Virginia Street	1076	41.84077	41
80	Johnson City	TN	37601	27	Evans	-82.262394	1289 Nixon Avenue	1289	36.392361	36
81	Spokane	WA	99201	48	MegaSolutions	-117.385073	703 Melrose Street	703	47.627318	47
82	Kennedy Meadows	CA	93527	69	Laughner's Cafeteria	-121.411292	3207 Half and Half Drive	3207	38.572802	38
83	Pittsburgh	PA	15201	70	Big D Supermarkets	-79.928966	4443 Losh Lane	4443	40.389317	40
84	Los Angeles	CA	90014	57	Rainbow Bay Crafts	-118.290173	3993 Zimmerman Lane	3993	34.123143	34
85	Nashua	NH	3060	82	JasmineSola	-71.490104	179 Milford Street	179	42.680979	42
86	Louisburg	KS	66053	46	Bugle Boy	-94.780346	4726 Charter Street	4726	38.536897	38
87	Somerdale	NJ	8083	52	Modern Architecture Design	-74.939796	109 Lee Avenue	109	39.836184	39
88	Stamford	CT	6995	28	Complete Tech	-73.477687	2710 Airplane Avenue	2710	41.063563	41
89	Decatur	GA	30030	21	Ardan's	-84.37549	922 College Street	922	33.671817	33
90	White Settlement	TX	76108	29	Packer	-97.549016	2766 Oliver Street	2766	32.744477	32
91	Oakland	CA	94612	81	Little Folk Shops	-122.176436	2104 Harrison Street	2104	37.744836	37
92	Fairfax	VT	5454	48	Formula Gray	-72.95171	4022 Hardman Road	4022	44.800938	44
93	White River Junction	VT	5001	68	Better Business Ideas and Services	-72.423494	3224 Essex Court	3224	43.717206	43
94	Tallahassee	FL	32301	79	Multicerv	-84.338193	2797 American Drive	2797	30.470556	30
95	Phenix City	AL	36867	75	Helping Hand	-84.94945	4078 Fleming Street	4078	32.429867	32
96	Gulfport	MS	39501	80	Beefsteak Charlie's	-89.027358	1749 Coventry Court	1749	30.338815	30
97	Garden City	NY	11530	27	Sportmart	-73.623395	1920 Wayback Lane	1920	40.767424	40
98	Grand Rapids	MI	49505	80	Integra Investment Plan	-85.729384	4250 Kimberly Way	4250	42.93725	42
99	Los Angeles	CA	90066	61	Sav-A-Center	-118.462189	1431 Jett Lane	1431	33.910487	33
100	Walnut Creek	CA	94596	70	Hamady Bros. Supermarkets	-122.033756	2898 Brown Street	2898	37.884842	37
101	Silver Lake (Snohomish)	WA	98208	85	House 2 Home	-122.268939	1857 Ryder Avenue	1857	47.978531	47
102	Martinsburg	WV	25401	45	Liberty Wealth Planner	-77.915034	1456 Tavern Place	1456	39.504048	39
103	New York	NY	10011	55	Destiny Planners	-73.919911	4409 Bicetown Road	4409	40.785819	40
104	New Philadelphia	OH	44663	50	STM Auto Parts	-81.563737	4152 Derek Drive	4152	40.376824	40
105	Champaign	IL	61820	77	Sam Goody	-88.157102	899 Spring Street	899	40.18595	40
106	Michigan Center	MI	49254	56	Castle Realty	-84.401061	3732 John Avenue	3732	42.231439	42
107	Richmondale	OH	45673	33	Grey Fade	-82.827529	3842 Old House Drive	3842	39.173713	39
108	Toledo	OH	43609	35	Your Choices	-83.505838	1366 Carriage Lane	1366	41.600634	41
109	Los Angeles	CA	90017	29	John F. Lawhon	-118.335678	2422 Armbrester Drive	2422	34.151778	34
110	Portland	OR	97220	54	Success Is Yours	-122.543814	1881 Mattson Street	1881	45.616716	45
111	Vicksburg	MS	39180	65	Destiny Realty	-90.903192	2385 Devils Hill Road	2385	32.238767	32
112	Stamford	CT	6901	61	Judy's	-73.447133	3425 Bedford Street	3425	41.024772	41
113	Atlanta	GA	30308	59	LoRay	-84.361218	657 Layman Court	657	33.724532	33
114	Decatur	AL	35601	63	Martin's	-86.934089	2882 Turnpike Drive	2882	34.636264	34
115	Concord	CA	94520	61	Rainbow Life	-121.986336	4514 Water Street	4514	38.082123	38
116	Hattiesburg	MS	39401	42	Envirotecture Design Service	-89.330701	3563 Lena Lane	3563	31.184073	31
117	Los Angeles	CA	90017	35	Edge Yard Service	-118.333356	565 Thompson Street	565	33.994157	33
118	Glendale	CA	91204	55	Cut Above	-118.282955	2866 Joy Lane	2866	34.233628	34
119	Lime Village	AK	99673	76	Music Plus	-155.448719	1716 Jerry Toth Drive	1716	61.270021	61
120	Scranton	PA	18503	78	Big Star Markets	-75.705971	1890 High Meadow Lane	1890	41.351068	41
121	Rochelle Park	NJ	7662	72	Mr. Good Buys	-74.043373	704 Central Avenue	704	40.972681	40
122	Cleveland	OH	44115	20	Standard Sales	-81.710242	800 Harley Vincent Drive	800	41.462796	41
123	Terre Haute	IN	47805	50	Strategic Profit	-87.240373	2302 Neville Street	2302	39.570823	39
124	Temecula	CA	92592	29	Pointers	-117.122604	2189 Denver Avenue	2189	33.533815	33
125	Wheeling	IL	60090	59	Formula Gray	-87.924005	2939 Thomas Street	2939	42.114677	42
126	Salt Lake City	UT	84101	64	Red Owl	-111.961979	1068 Philadelphia Avenue	1068	40.829993	40
127	Austin	TX	78735	47	Scotty's Builders Supply	-97.956329	3371 Valley Lane	3371	30.292756	30
128	Tempe	AZ	85283	24	AM/PM Camp	-111.880087	2643 East Avenue	2643	33.418757	33
129	Sacramento	CA	95814	56	Al's Auto Parts	-121.583877	1378 Pearl Street	1378	38.515414	38
130	Harlingen	TX	78550	58	Standard Sales	-97.748642	2073 Hemlock Lane	2073	26.264599	26
131	Atlanta	GA	30329	22	Rhodes Furniture	-84.228961	59 College Street	59	33.766022	33
132	Coos Bay	OR	97420	20	Delchamps	-124.208877	3845 Buena Vista Avenue	3845	43.408897	43
133	Hamburg (Calhoun)	IL	62045	35	Affinity Investment Group	-90.750198	2487 Ross Street	2487	39.148114	39
134	New York	NY	10013	29	Environ Architectural Design	-73.955966	4418 Dancing Dove Lane	4418	40.68281	40
135	Owensboro	KY	42301	60	Earl Abel's	-87.358545	1695 Shady Pines Drive	1695	37.685928	37
136	Las Vegas	NV	89101	45	Martin's	-115.082596	4360 Mesa Drive	4360	36.256961	36
137	Carrollton	TX	75006	47	Pearl Architectural Design	-96.839539	1263 Giraffe Hill Drive	1263	33.023221	33
138	Honolulu	HI	96826	61	Greenwich IGA	-157.838274	1826 Don Jackson Lane	1826	21.25694	21
139	Sugar Land	TX	77478	82	FamilyMart	-95.708497	2528 Gambler Lane	2528	29.577127	29
140	Hartford	CT	6103	61	Thom McAn Store	-72.70009	1323 Airplane Avenue	1323	41.696223	41
141	Waterville	ME	4901	46	Isaly's	-69.458493	2073 Upton Avenue	2073	44.531587	44
142	Atlanta	GA	30303	30	Highland Appliance	-84.301548	4402 Adonais Way	4402	33.82452	33
143	West Seneca	NY	14224	37	Magna Solution	-78.854503	891 Bottom Lane	891	42.849545	42
144	Rosebud	MT	59347	82	Fayva	-106.486719	3004 Richison Drive	3004	46.500249	46
145	Cambridge	MA	2141	46	Tianguis	-71.067719	3527 Single Street	3527	42.400309	42
146	Bellwood	IL	60104	74	Steak and Ale	-87.784467	4514 Flinderation Road	4514	41.913525	41
147	Los Angeles	CA	90017	79	New World	-118.268449	323 Parkview Drive	323	33.980969	33
148	Metairie	LA	70001	24	Crazy Tiger	-90.139236	2719 Woodland Avenue	2719	29.991724	29
149	Countryside	FL	34619	64	Bold Ideas	-80.990351	733 County Line Road	733	29.067524	29
150	Framingham	MA	1702	78	Techo Solutions	-71.481396	1962 Kovar Road	1962	42.305534	42
151	Waldorf	MD	20601	20	Super Place	-76.945608	691 Adams Avenue	691	38.652733	38
152	Chicago	IL	60603	58	Music Plus	-87.54214	263 Oakmound Drive	263	41.949261	41
153	Seattle	WA	98119	81	EnviroSource Design	-122.321759	792 Dale Avenue	792	47.715137	47
154	Taunton	MA	2780	46	Pace Membership Warehouse	-71.034082	952 Smith Street	952	41.912872	41
155	Amarillo	TX	79108	82	Rich and Happy	-101.722728	2159 Charmaine Lane	2159	35.371668	35
156	Cincinnati	OH	45203	46	A+ Electronics	-84.501958	837 Goldie Lane	837	39.07487	39
157	Rimersburg	PA	16248	76	Leath Furniture	-79.598257	1441 Stutler Lane	1441	41.123749	41
158	Taylors Falls	MN	55084	33	Environ Architectural Design	-92.617225	2443 B Street	2443	45.376385	45
159	Riverhead	NY	11901	45	Sportmart	-72.657001	2538 Fieldcrest Road	2538	41.003341	41
160	Merced	CA	95340	69	Compact Disc Center	-120.541064	146 Freedom Lane	146	37.317695	37
161	New York	NY	10016	74	Omni Realty	-74.060708	3521 Hanover Street	3521	40.831224	40
162	Arlington	TN	38002	82	Bodega Club	-89.785448	2464 Melville Street	2464	35.189367	35
163	Matthews	NC	28105	50	Fradkin Brothers Furniture	-80.613924	4063 Diamond Street	4063	35.017155	35
164	Chicago	IL	60661	57	Just For Feet	-87.561056	2868 Oakmound Drive	2868	41.840812	41
165	Hickory Hills	IL	60457	68	Fedco	-87.740838	3240 Tator Patch Road	3240	41.757701	41
166	Bakersfield	CA	93301	25	Strongbod	-119.054407	4000 Williams Avenue	4000	35.388657	35
167	Elkhart	IN	46516	46	Builders Square	-86.050623	675 Sand Fork Road	675	41.597626	41
168	Bartlett	IL	60103	49	Northern Star	-88.191735	315 Hickman Street	315	42.011237	42
169	Blue Ash	OH	45242	22	Alladin Realty	-84.306962	407 Barnes Avenue	407	39.207197	39
170	Chicago	IL	60603	34	Choices	-87.532046	4451 Cecil Street	4451	41.900403	41
171	Redmond	WA	98052	71	Mission Realty	-122.086802	1419 Ryder Avenue	1419	47.612346	47
172	New York	NY	10019	23	Stratagee	-74.037605	2078 Farnum Road	2078	40.676962	40
173	Hoffman Estates	IL	60192	40	Quickbiz	-88.251101	4031 Dovetail Drive	4031	42.012335	42
174	Richmond	WI	53115	81	The Serendipity Dip	-88.813713	1241 Dark Hollow Road	1241	42.685164	42
175	Dublin	CA	94568	56	A. L. Price	-121.931219	4343 Jim Rosa Lane	4343	37.754987	37
176	Lexington	KY	40507	58	Jack Lang	-84.406467	665 Mayo Street	665	38.028991	38
